snapshot_version,property_name,property_id,floor,source_filename,source_relative_path,source_sha256,pdf_page_number,prompt_version,model_id,raw_label,llm_proposed_canonical_name,equipment_type,confidence,run_status,review_required,review_reason
w03,msa_orient_building_1,b470b97b-4ea7-481c-97b7-22a81a219587,Floor_02,ahu_02c.png,ahu_02c.png,3c19f6cc20bca60eff11ea46b710c042cbd67b35a6d42e3337d493797e60683f,,equipment_extraction_v3,Qwen/Qwen3-VL-2B-Instruct,AHU 02 C,AHU_02C,AHU,0.99,succeeded,false,
w03,msa_orient_building_1,b470b97b-4ea7-481c-97b7-22a81a219587,Floor_02,ahu_02c.png,ahu_02c.png,3c19f6cc20bca60eff11ea46b710c042cbd67b35a6d42e3337d493797e60683f,,equipment_extraction_v3,Qwen/Qwen3-VL-2B-Instruct,FCU_02_3,FCU_02_3,FCU,0.99,succeeded,false,
w03,msa_orient_building_1,b470b97b-4ea7-481c-97b7-22a81a219587,Floor_02,ahu_02c.png,ahu_02c.png,3c19f6cc20bca60eff11ea46b710c042cbd67b35a6d42e3337d493797e60683f,,equipment_extraction_v3,Qwen/Qwen3-VL-2B-Instruct,VAVRH_2_1,VAVRH_2_1,VAVRH,0.99,succeeded,false,
w03,msa_orient_building_1,b470b97b-4ea7-481c-97b7-22a81a219587,Floor_02,ahu_02c.png,ahu_02c.png,3c19f6cc20bca60eff11ea46b710c042cbd67b35a6d42e3337d493797e60683f,,equipment_extraction_v3,Qwen/Qwen3-VL-2B-Instruct,VAV_2_01,VAV_2_01,VAV,0.99,succeeded,false,
w03,msa_orient_building_1,b470b97b-4ea7-481c-97b7-22a81a219587,Floor_02,ahu_02c.png,ahu_02c.png,3c19f6cc20bca60eff11ea46b710c042cbd67b35a6d42e3337d493797e60683f,,equipment_extraction_v3,Qwen/Qwen3-VL-2B-Instruct,VAV_2_02,VAV_2_02,VAV,0.99,succeeded,false,
w03,msa_orient_building_1,b470b97b-4ea7-481c-97b7-22a81a219587,Floor_02,ahu_02c.png,ahu_02c.png,3c19f6cc20bca60eff11ea46b710c042cbd67b35a6d42e3337d493797e60683f,,equipment_extraction_v3,Qwen/Qwen3-VL-2B-Instruct,VAV_2_03,VAV_2_03,VAV,0.99,succeeded,false,
w03,msa_orient_building_1,b470b97b-4ea7-481c-97b7-22a81a219587,Floor_02,ahu_02c.png,ahu_02c.png,3c19f6cc20bca60eff11ea46b710c042cbd67b35a6d42e3337d493797e60683f,,equipment_extraction_v3,Qwen/Qwen3-VL-2B-Instruct,VAV_2_04,VAV_2_04,VAV,0.99,succeeded,false,
w03,msa_orient_building_1,b470b97b-4ea7-481c-97b7-22a81a219587,Floor_02,ahu_02c.png,ahu_02c.png,3c19f6cc20bca60eff11ea46b710c042cbd67b35a6d42e3337d493797e60683f,,equipment_extraction_v3,Qwen/Qwen3-VL-2B-Instruct,VAV_2_05,VAV_2_05,VAV,0.99,succeeded,false,
w03,msa_orient_building_1,b470b97b-4ea7-481c-97b7-22a81a219587,Floor_02,ahu_02c.png,ahu_02c.png,3c19f6cc20bca60eff11ea46b710c042cbd67b35a6d42e3337d493797e60683f,,equipment_extraction_v3,Qwen/Qwen3-VL-2B-Instruct,VAV_2_06,VAV_2_06,VAV,0.99,succeeded,false,
w03,msa_orient_building_1,b470b97b-4ea7-481c-97b7-22a81a219587,Floor_02,ahu_02c.png,ahu_02c.png,3c19f6cc20bca60eff11ea46b710c042cbd67b35a6d42e3337d493797e60683f,,equipment_extraction_v3,Qwen/Qwen3-VL-2B-Instruct,VAV_2_07,VAV_2_07,VAV,0.99,succeeded,false,
